Date,Open
2017-01-02,451.4
2017-01-03,449.6
2017-01-04,455
2017-01-05,454.6
2017-01-06,459.7
2017-01-09,456.9
2017-01-10,455.5
2017-01-11,451.85
2017-01-12,454.2
2017-01-13,457
2017-01-16,472.5
2017-01-17,477.3
2017-01-18,487.15
2017-01-19,486.7
2017-01-20,458
2017-01-23,445.25
2017-01-24,447.8
2017-01-25,452
2017-01-27,465.25
2017-01-30,472
2017-01-31,472
2017-02-01,467.75
2017-02-02,476.25
2017-02-03,483.7
2017-02-06,494.75
2017-02-07,498.4
2017-02-08,492.4
2017-02-09,491
2017-02-10,489.75
2017-02-13,492.7
2017-02-14,490.3
2017-02-15,488
2017-02-16,487.7
2017-02-17,501
2017-02-20,489.4
2017-02-21,481.9
2017-02-22,508.5
2017-02-23,525
2017-02-27,527.9
2017-02-28,509.4
2017-03-01,511
2017-03-02,515.1
2017-03-03,507.25
2017-03-06,514.7
2017-03-07,519
2017-03-08,504.6
2017-03-09,509.6
2017-03-10,519.2
2017-03-14,524.9
2017-03-15,514.7
2017-03-16,513
2017-03-17,515.3
2017-03-20,518
2017-03-21,498.75
2017-03-22,485
2017-03-23,487.55
2017-03-24,491
2017-03-27,488.4
2017-03-28,492.3
2017-03-29,506
2017-03-30,498.95
2017-03-31,499.7
2017-04-03,495.7
2017-04-05,503.85
2017-04-06,507.7
2017-04-07,507
2017-04-10,504.65
2017-04-11,509.6
2017-04-12,515.3
2017-04-13,506.6
2017-04-17,505.55
2017-04-18,505
2017-04-19,498.25
2017-04-20,496.15
2017-04-21,492
2017-04-24,487.95
2017-04-25,501
2017-04-26,519.5
2017-04-27,524
2017-04-28,508.3
2017-05-02,509.5
2017-05-03,506.9
2017-05-04,504.95
2017-05-05,522
2017-05-08,509
2017-05-09,513
2017-05-10,519
2017-05-11,525.2
2017-05-12,516.7
2017-05-15,505
2017-05-16,502.1
2017-05-17,501.35
2017-05-18,498
2017-05-19,495.75
2017-05-22,504
2017-05-23,502.25
2017-05-24,503
2017-05-25,502
2017-05-26,508
2017-05-29,511.9
2017-05-30,505
2017-05-31,514
2017-06-01,512.15
2017-06-02,513.5
2017-06-05,507.35
2017-06-06,514
2017-06-07,510
2017-06-08,514
2017-06-09,515
2017-06-12,512.45
2017-06-13,509
2017-06-14,509
2017-06-15,508.85
2017-06-16,507.65
2017-06-19,511
2017-06-20,520.2
2017-06-21,511.05
2017-06-22,508.9
2017-06-23,509.6
2017-06-27,506
2017-06-28,493.8
2017-06-29,498
2017-06-30,510.6
2017-07-03,517.1
2017-07-04,516.8
2017-07-05,507.75
2017-07-06,511
