Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Pct_Change,MarktCap,MA50,MA200
2017-01-02,AXISBANK,EQ,449.95,451.4,452.0,441.25,447.0,447.75,446.18,3054394,136280000000000.0,39650,822758,0.2694,,1378753451.6,,
2017-01-03,AXISBANK,EQ,447.75,449.6,457.8,443.5,454.95,455.25,453.44,4621782,209572000000000.0,55775,1658363,0.3588,-0.003987594151528495,2077953187.2,,
2017-01-04,AXISBANK,EQ,455.25,455.0,460.0,451.95,454.1,453.1,455.06,3703873,168547000000000.0,49980,1457227,0.3934,0.012010676156583688,1685262215.0,,
2017-01-05,AXISBANK,EQ,453.1,454.6,463.9,453.25,457.1,458.05,458.46,5829373,267253000000000.0,93787,2889776,0.4957,-0.0008791208791207872,2650032965.8,,
2017-01-06,AXISBANK,EQ,458.05,459.7,461.8,454.05,454.4,455.2,457.22,4431212,202605000000000.0,58851,1668064,0.3764,0.011218653761548625,2037028156.3999999,,
2017-01-09,AXISBANK,EQ,455.2,456.9,459.35,451.55,453.2,452.75,454.96,2690456,122405000000000.0,38066,934640,0.3474,-0.00609092886665219,1229269346.3999999,,
2017-01-10,AXISBANK,EQ,452.75,455.5,456.05,424.4,447.8,447.35,446.88,9436151,421685000000000.0,93174,2962535,0.314,-0.003064127817903217,4298166780.5,,
2017-01-11,AXISBANK,EQ,447.35,451.85,457.55,448.2,452.5,453.6,452.99,5678047,257211000000000.0,90411,2241633,0.3948,-0.008013172338089958,2565625536.9500003,,
2017-01-12,AXISBANK,EQ,453.6,454.2,461.4,452.6,455.8,455.2,456.91,5106342,233315000000000.0,74165,2380973,0.4663,0.005200840987053201,2319300536.4,,
2017-01-13,AXISBANK,EQ,455.2,457.0,475.2,455.2,472.0,472.8,469.33,12693510,595741000000000.0,161048,6177412,0.4867,0.006164685160722216,5800934070.0,,
2017-01-16,AXISBANK,EQ,472.8,472.5,480.5,468.3,477.2,477.25,476.54,7430300,354082000000000.0,91629,3379810,0.4549,0.03391684901531722,3510816750.0,,
2017-01-17,AXISBANK,EQ,477.25,477.3,488.2,476.95,485.6,487.2,483.42,11331156,547766000000000.0,151267,6934887,0.612,0.010158730158730256,5408360758.8,,
2017-01-18,AXISBANK,EQ,487.2,487.15,491.7,483.25,487.0,488.5,487.69,8789347,428651000000000.0,110773,4969540,0.5654,0.020636915985753124,4281730391.0499997,,
