Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Pct_Change,MarktCap,MA50,MA200
2017-01-02,ICICIBANK,EQ,255.3,256.3,256.3,248.1,252.25,251.95,251.46,9458500,2.37842E+14,61109,4654503,0.4921,,2424213550,,
2017-01-03,ICICIBANK,EQ,251.95,252.1,255.4,249.3,254.95,254.4,253.52,9306097,2.35927E+14,51222,4456575,0.4789,-0.016387046,2346067054,,
2017-01-04,ICICIBANK,EQ,254.4,254.25,255.75,250.4,250.95,251.1,253.04,6273801,1.58753E+14,44992,2581157,0.4114,0.008528362,1595113904,,
2017-01-05,ICICIBANK,EQ,251.1,253.2,258.5,252.2,257.4,257.25,256.07,12573335,3.2196E+14,98021,7239450,0.5758,-0.004129794,3183568422,,
2017-01-06,ICICIBANK,EQ,257.25,258.25,261.4,257.2,258.1,258.15,259.13,8231949,2.13313E+14,56518,3806104,0.4624,0.019944708,2125900829,,
2017-01-09,ICICIBANK,EQ,258.15,257.9,259.85,256,258.85,258.7,258.3,7159359,1.84923E+14,65924,3559790,0.4972,-0.001355276,1846398686,,
2017-01-10,ICICIBANK,EQ,258.7,260,261.9,258.3,260.7,260.2,260.18,13440037,3.49682E+14,91189,9692851,0.7212,0.008142691,3494409620,,
2017-01-11,ICICIBANK,EQ,260.2,262.5,268.1,261.6,264.9,264.7,264.17,17786981,4.69887E+14,96690,10990010,0.6179,0.009615385,4669082513,,
2017-01-12,ICICIBANK,EQ,264.7,266.6,269.5,265.45,268.5,268.35,267.87,10646618,2.85191E+14,86316,5842645,0.5488,0.015619048,2838388359,,
2017-01-13,ICICIBANK,EQ,268.35,270,270,264.8,267.6,268.05,267.54,7100341,1.89964E+14,62386,3723958,0.5245,0.012753188,1917092070,,
2017-01-16,ICICIBANK,EQ,268.05,267.4,270.85,264.8,269.35,269.3,268.26,8057888,2.1616E+14,63343,3821155,0.4742,-0.00962963,2154679251,,
2017-01-17,ICICIBANK,EQ,269.3,269.5,271.5,265.5,267.1,268.4,268.69,6334601,1.70205E+14,58374,2691952,0.425,0.007853403,1707174970,,
2017-01-18,ICICIBANK,EQ,268.4,267.4,272.1,266.75,268,268.45,269.57,9168733,2.47158E+14,57324,4383161,0.4781,-0.007792208,2451719204,,
2017-01-19,ICICIBANK,EQ,268.45,268.8,270.7,266.2,270,269.7,269.03,7823352,2.10471E+14,65190,4084624,0.5221,0.005235602,2102917018,,
2017-01-20,ICICIBANK,EQ,269.7,267,267.95,262.55,262.85,263.45,264.59,11097327,2.93621E+14,71291,5809642,0.5235,-0.006696429,2962986309,,
2017-01-23,ICICIBANK,EQ,263.45,261.8,261.8,255.15,257.35,257.55,257.23,39812153,1.02407E+15,90101,21413622,0.5379,-0.019475655,10422821655,,
2017-01-24,ICICIBANK,EQ,257.55,258.55,258.55,255.65,257.65,257.15,257.56,24109134,6.2096E+14,75856,15025798,0.6232,-0.012414057,6233416596,,
2017-01-25,ICICIBANK,EQ,257.15,259,260.8,255.6,260.5,259.95,258.28,37343712,9.64524E+14,107406,24181771,0.6475,0.001740476,9672021408,,
2017-01-27,ICICIBANK,EQ,259.95,263.05,274,260.7,271.8,272,266.23,81303314,2.16452E+15,170567,41436690,0.5097,0.015637066,21386836748,,
2017-01-30,ICICIBANK,EQ,272,273,275.6,269.7,271.5,270.8,272.31,15488611,4.21773E+14,88281,7547907,0.4873,0.037825508,4228390803,,
2017-01-31,ICICIBANK,EQ,270.8,268.8,274,266.45,268.05,268.95,269.55,18668332,5.03209E+14,112432,8364534,0.4481,-0.015384615,5018047642,,
2017-02-01,ICICIBANK,EQ,268.95,265.85,283.5,262.8,281.35,281,274.98,40588493,1.11609E+15,219534,17320544,0.4267,-0.010974702,10790450864,,
2017-02-02,ICICIBANK,EQ,281,282,287.5,280.55,283.55,285.8,285.14,26282657,7.49436E+14,154242,14135824,0.5378,0.060748542,7411709274,,
2017-02-03,ICICIBANK,EQ,285.8,284.95,284.95,278.8,281.75,281.55,281.43,18235397,5.13198E+14,141574,9576049,0.5251,0.010460993,5196176375,,
2017-02-06,ICICIBANK,EQ,281.55,283.55,292.25,283.55,290.3,290.3,289.55,20474479,5.92847E+14,121397,9595696,0.4687,-0.004913143,5805538520,,
2017-02-07,ICICIBANK,EQ,290.3,288,292.7,285.3,287.95,288.1,289.21,11663002,3.37303E+14,73488,5119040,0.4389,0.015693881,3358944576,,
2017-02-08,ICICIBANK,EQ,288.1,288,288.5,282.7,286.8,285.8,286.05,15148162,4.3332E+14,98284,7285628,0.481,0,4362670656,,
2017-02-09,ICICIBANK,EQ,285.8,286.6,288.75,278.6,284.9,285,283.66,15119258,4.28876E+14,129726,6932399,0.4585,-0.004861111,4333179343,,
2017-02-10,ICICIBANK,EQ,285,285.6,286.15,280.1,281.95,281.6,283.08,15246747,4.31604E+14,83526,10019486,0.6572,-0.003489184,4354470943,,
2017-02-13,ICICIBANK,EQ,281.6,282.5,284.1,279.55,281.15,281.65,282,11949486,3.3697E+14,79087,6323147,0.5292,-0.010854342,3375729795,,
2017-02-14,ICICIBANK,EQ,281.65,283,285.9,281.3,285.05,284.65,283.25,11717450,3.31894E+14,105161,6823472,0.5823,0.001769912,3316038350,,
2017-02-15,ICICIBANK,EQ,284.65,285.2,286.4,278.6,280.95,280.75,281.59,13109769,3.69154E+14,59772,6902289,0.5265,0.007773852,3738906119,,
2017-02-16,ICICIBANK,EQ,280.75,281.3,281.45,272.85,279,278.8,277.74,18416223,5.11497E+14,166904,9944570,0.54,-0.013674614,5180483530,,
2017-02-17,ICICIBANK,EQ,278.8,279.7,286.1,275.85,284.6,283,281.47,25905766,7.29171E+14,124459,15013785,0.5796,-0.005687878,7245842750,,
2017-02-20,ICICIBANK,EQ,283,283.05,286.15,281.1,282,282.35,283.07,9043256,2.55986E+14,62788,3823774,0.4228,0.011977118,2559693611,,
2017-02-21,ICICIBANK,EQ,282.35,283,285.8,281.2,284.95,284.8,282.75,10262388,2.9017E+14,95774,6096036,0.594,-0.000176647,2904255804,,
2017-02-22,ICICIBANK,EQ,284.8,287.9,287.9,281.15,285.55,286.15,284.8,27988445,7.97125E+14,113186,20605591,0.7362,0.017314488,8057873315,,
2017-02-23,ICICIBANK,EQ,286.15,284.7,288.75,282.05,285.25,284.5,285.01,23181054,6.60673E+14,187038,14329105,0.6181,-0.01111497,6599646074,,
2017-02-27,ICICIBANK,EQ,284.5,285,285.55,277.1,279.35,278.85,281.61,13670895,3.8498E+14,77780,8077086,0.5908,0.001053741,3896205075,,
2017-02-28,ICICIBANK,EQ,278.85,278.95,280.1,275.7,276.7,276.35,277.04,16527127,4.5787E+14,98978,11617862,0.703,-0.02122807,4610242077,,
2017-03-01,ICICIBANK,EQ,276.35,277.6,280.95,277.25,278.9,279.1,279.5,18166511,5.0776E+14,61917,12490982,0.6876,-0.004839577,5043023454,,
