Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-02,ICICIBANK,EQ,255.3,256.3,256.3,248.1,252.25,251.95,251.46,9458500,2.37842E+14,61109,4654503,0.4921
2017-01-02,AXISBANK,EQ,449.95,451.4,452,441.25,447,447.75,446.18,3054394,1.3628E+14,39650,822758,0.2694
2017-01-02,HDFCBANK,EQ,1206.2,1209.45,1210.1,1192.05,1198.05,1197.1,1198.08,927164,1.11082E+14,36225,531525,0.5733
2017-01-03,ICICIBANK,EQ,251.95,252.1,255.4,249.3,254.95,254.4,253.52,9306097,2.35927E+14,51222,4456575,0.4789
2017-01-03,AXISBANK,EQ,447.75,449.6,457.8,443.5,454.95,455.25,453.44,4621782,2.09572E+14,55775,1658363,0.3588
2017-01-03,HDFCBANK,EQ,1197.1,1200.8,1201.95,1185.75,1190,1189.9,1192.5,961875,1.14704E+14,21734,574034,0.5968
2017-01-04,ICICIBANK,EQ,254.4,254.25,255.75,250.4,250.95,251.1,253.04,6273801,1.58753E+14,44992,2581157,0.4114
2017-01-04,AXISBANK,EQ,455.25,455,460,451.95,454.1,453.1,455.06,3703873,1.68547E+14,49980,1457227,0.3934
2017-01-04,HDFCBANK,EQ,1189.9,1189.85,1192,1183.8,1188.8,1185.5,1187.86,1741780,2.06899E+14,28925,1227791,0.7049
2017-01-05,ICICIBANK,EQ,251.1,253.2,258.5,252.2,257.4,257.25,256.07,12573335,3.2196E+14,98021,7239450,0.5758
2017-01-05,AXISBANK,EQ,453.1,454.6,463.9,453.25,457.1,458.05,458.46,5829373,2.67253E+14,93787,2889776,0.4957
2017-01-05,HDFCBANK,EQ,1185.5,1189,1194.5,1183.1,1185,1186.2,1186.93,1694096,2.01077E+14,35946,1138929,0.6723
2017-01-06,ICICIBANK,EQ,257.25,258.25,261.4,257.2,258.1,258.15,259.13,8231949,2.13313E+14,56518,3806104,0.4624
2017-01-06,AXISBANK,EQ,458.05,459.7,461.8,454.05,454.4,455.2,457.22,4431212,2.02605E+14,58851,1668064,0.3764
2017-01-06,HDFCBANK,EQ,1186.2,1190.1,1198.4,1188.2,1194.5,1193.65,1192.99,1381315,1.6479E+14,31658,878454,0.636
2017-01-09,ICICIBANK,EQ,258.15,257.9,259.85,256,258.85,258.7,258.3,7159359,1.84923E+14,65924,3559790,0.4972
2017-01-09,AXISBANK,EQ,455.2,456.9,459.35,451.55,453.2,452.75,454.96,2690456,1.22405E+14,38066,934640,0.3474
2017-01-09,HDFCBANK,EQ,1193.65,1198.85,1204.15,1192.15,1194.6,1195.2,1197.47,1143449,1.36924E+14,32660,609266,0.5328
