Date,Open
2017-01-02,1209.45
2017-01-03,1200.8
2017-01-04,1189.85
2017-01-05,1189
2017-01-06,1190.1
2017-01-09,1198.85
2017-01-10,1196.2
2017-01-11,1217.5
2017-01-12,1235
2017-01-13,1239
2017-01-16,1233.5
2017-01-17,1247
2017-01-18,1240.9
2017-01-19,1244.9
2017-01-20,1236
2017-01-23,1236
2017-01-24,1250
2017-01-25,1272.6
2017-01-27,1299
2017-01-30,1292.95
2017-01-31,1282.4
2017-02-01,1286.2
2017-02-02,1305.7
2017-02-03,1299
2017-02-06,1312.3
2017-02-07,1316
2017-02-08,1307.55
2017-02-09,1309.4
2017-02-10,1298.35
2017-02-13,1307.55
2017-02-14,1314
2017-02-15,1312
2017-02-16,1323
2017-02-17,1445
2017-02-20,1361.2
2017-02-21,1406.05
2017-02-22,1415
2017-02-23,1403.8
2017-02-27,1390.9
2017-02-28,1392.9
2017-03-01,1396.45
2017-03-02,1394.55
2017-03-03,1384.5
2017-03-06,1376.8
2017-03-07,1382.25
2017-03-08,1387.9
2017-03-09,1381.65
2017-03-10,1395
2017-03-14,1422.1
2017-03-15,1410.95
2017-03-16,1418.1
2017-03-17,1418.55
2017-03-20,1426.65
2017-03-21,1434
2017-03-22,1427.7
2017-03-23,1434.4
2017-03-24,1433
2017-03-27,1424
2017-03-28,1418.3
2017-03-29,1420.8
2017-03-30,1428
2017-03-31,1453.8
2017-04-03,1446
2017-04-05,1435.25
2017-04-06,1431.5
2017-04-07,1431.05
2017-04-10,1443
2017-04-11,1434
2017-04-12,1439
2017-04-13,1443
2017-04-17,1440.3
2017-04-18,1440
2017-04-19,1447
2017-04-20,1453
2017-04-21,1466
2017-04-24,1498.1
2017-04-25,1535.05
2017-04-26,1542.95
2017-04-27,1546.1
2017-04-28,1559.9
2017-05-02,1547
2017-05-03,1554.25
2017-05-04,1539.25
2017-05-05,1542.1
2017-05-08,1538
2017-05-09,1534.8
2017-05-10,1540
2017-05-11,1551
2017-05-12,1545.9
2017-05-15,1550
2017-05-16,1555
2017-05-17,1558.8
2017-05-18,1549
2017-05-19,1559.5
2017-05-22,1565.1
2017-05-23,1580
2017-05-24,1569.05
2017-05-25,1567.1
2017-05-26,1606.65
2017-05-29,1619.8
2017-05-30,1630
2017-05-31,1625
2017-06-01,1639
2017-06-02,1634
2017-06-05,1633.7
2017-06-06,1635
2017-06-07,1640.4
2017-06-08,1643.9
2017-06-09,1640.1
2017-06-12,1664
2017-06-13,1661.75
2017-06-14,1675
2017-06-15,1668
2017-06-16,1665
2017-06-19,1671
2017-06-20,1690
2017-06-21,1682.6
