Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Pct_Change,MarktCap,MA50,MA200
2017-01-02,HDFCBANK,EQ,1206.2,1209.45,1210.1,1192.05,1198.05,1197.1,1198.08,927164,111082000000000.0,36225,531525,0.5733,,1121358499.8,,
2017-01-03,HDFCBANK,EQ,1197.1,1200.8,1201.95,1185.75,1190.0,1189.9,1192.5,961875,114704000000000.0,21734,574034,0.5968,-0.007152011244780709,1155019500.0,,
2017-01-04,HDFCBANK,EQ,1189.9,1189.85,1192.0,1183.8,1188.8,1185.5,1187.86,1741780,206899000000000.0,28925,1227791,0.7049,-0.009118920719520363,2072456932.9999998,,
2017-01-05,HDFCBANK,EQ,1185.5,1189.0,1194.5,1183.1,1185.0,1186.2,1186.93,1694096,201077000000000.0,35946,1138929,0.6723,-0.0007143757616505653,2014280144.0,,
2017-01-06,HDFCBANK,EQ,1186.2,1190.1,1198.4,1188.2,1194.5,1193.65,1192.99,1381315,164790000000000.0,31658,878454,0.636,0.0009251471825062474,1643902981.4999998,,
2017-01-09,HDFCBANK,EQ,1193.65,1198.85,1204.15,1192.15,1194.6,1195.2,1197.47,1143449,136924000000000.0,32660,609266,0.5328,0.007352323334173683,1370823833.6499999,,
2017-01-10,HDFCBANK,EQ,1195.2,1196.2,1216.8,1195.3,1215.8,1214.35,1208.44,1386529,167553000000000.0,26856,743091,0.5359,-0.002210451682862602,1658565989.8,,
2017-01-11,HDFCBANK,EQ,1214.35,1217.5,1238.1,1215.5,1230.6,1234.0,1229.29,2335851,287145000000000.0,37280,1457613,0.624,0.017806386891824122,2843898592.5,,
2017-01-12,HDFCBANK,EQ,1234.0,1235.0,1243.7,1225.5,1235.0,1235.0,1232.72,729079,89875400000000.0,16117,322314,0.4421,0.014373716632443578,900412565.0,,
2017-01-13,HDFCBANK,EQ,1235.0,1239.0,1239.7,1228.6,1234.85,1232.5,1230.97,962603,118494000000000.0,26665,641591,0.6665,0.0032388663967610754,1192665117.0,,
2017-01-16,HDFCBANK,EQ,1232.5,1233.5,1249.45,1232.8,1249.4,1247.65,1243.17,941466,117040000000000.0,19324,560059,0.5949,-0.004439063761097706,1161298311.0,,
2017-01-17,HDFCBANK,EQ,1247.65,1247.0,1252.4,1236.25,1238.0,1238.5,1240.11,889903,110358000000000.0,11938,645873,0.7258,0.010944466963923816,1109709041.0,,
2017-01-18,HDFCBANK,EQ,1238.5,1240.9,1256.0,1240.85,1245.0,1242.6,1245.98,1153222,143689000000000.0,13935,830700,0.7203,-0.004891740176423354,1431033179.8000002,,
2017-01-19,HDFCBANK,EQ,1242.6,1244.9,1244.9,1235.0,1236.0,1236.3,1238.18,878103,108725000000000.0,17737,668532,0.7613,0.0032234668385848764,1093150424.7,,
2017-01-20,HDFCBANK,EQ,1236.3,1236.0,1245.0,1230.0,1236.0,1236.35,1236.63,3485517,431030000000000.0,22849,1131929,0.3248,-0.007149168607920364,4308099012.0,,
2017-01-23,HDFCBANK,EQ,1236.35,1236.0,1250.0,1235.8,1247.9,1244.65,1243.28,1198462,149002000000000.0,16822,775795,0.6473,0.0,1481299032.0,,
2017-01-24,HDFCBANK,EQ,1244.65,1250.0,1271.5,1249.25,1269.8,1267.55,1259.62,2565466,323152000000000.0,42319,1317429,0.5135,0.01132686084142387,3206832500.0,,
2017-01-25,HDFCBANK,EQ,1267.55,1272.6,1295.6,1270.1,1285.0,1290.6,1283.33,3909246,501685000000000.0,43213,2729465,0.6982,0.018079999999999874,4974906459.599999,,
2017-01-27,HDFCBANK,EQ,1290.6,1299.0,1300.0,1288.0,1292.25,1291.9,1294.12,1713059,221690000000000.0,44456,1236374,0.7217,0.02074493163602087,2225263641.0,,
2017-01-30,HDFCBANK,EQ,1291.9,1292.95,1292.95,1280.55,1283.0,1284.95,1284.17,1329907,170783000000000.0,29492,921282,0.6927,-0.004657428791377982,1719503255.65,,
2017-01-31,HDFCBANK,EQ,1284.95,1282.4,1292.7,1277.0,1284.0,1286.65,1286.42,1525260,196212000000000.0,31674,1119635,0.7341,-0.008159634943346594,1955993424.0000002,,
2017-02-01,HDFCBANK,EQ,1286.65,1286.2,1310.0,1280.5,1307.05,1305.7,1296.22,2727666,353565000000000.0,35707,1732314,0.6351,0.002963194011228909,3508324009.2000003,,
2017-02-02,HDFCBANK,EQ,1305.7,1305.7,1305.7,1292.6,1299.9,1298.7,1297.53,1492909,193710000000000.0,41213,960795,0.6436,0.015160939200746348,1949291281.3,,
2017-02-03,HDFCBANK,EQ,1298.7,1299.0,1316.0,1296.5,1308.25,1311.05,1307.93,2001276,261753000000000.0,34216,1177119,0.5882,-0.005131347170100331,2599657524.0,,
2017-02-06,HDFCBANK,EQ,1311.05,1312.3,1320.0,1311.45,1313.75,1314.1,1315.54,1077555,141757000000000.0,27295,663293,0.6156,0.010238645111624312,1414075426.5,,
2017-02-07,HDFCBANK,EQ,1314.1,1316.0,1318.0,1302.95,1307.0,1307.15,1308.36,852980,111600000000000.0,10789,548839,0.6434,0.0028194772536767054,1122521680.0,,
2017-02-08,HDFCBANK,EQ,1307.15,1307.55,1318.7,1298.15,1313.4,1305.65,1308.54,1235240,161636000000000.0,18441,772127,0.6251,-0.00642097264437691,1615138062.0,,
2017-02-09,HDFCBANK,EQ,1305.65,1309.4,1319.9,1292.55,1299.7,1297.65,1300.43,1116344,145172000000000.0,16802,697108,0.6245,0.0014148598523957556,1461740833.6000001,,
2017-02-10,HDFCBANK,EQ,1297.65,1298.35,1308.75,1298.0,1306.95,1303.6,1303.18,824184,107406000000000.0,18728,519927,0.6308,-0.008438979685352233,1070079296.4,,
2017-02-13,HDFCBANK,EQ,1303.6,1307.55,1315.0,1299.2,1311.25,1310.2,1308.2,698948,91436400000000.0,13107,354175,0.5067,0.007085916740478426,913909457.4,,
2017-02-14,HDFCBANK,EQ,1310.2,1314.0,1314.0,1304.0,1312.25,1311.1,1310.53,611515,80140700000000.0,11044,388475,0.6353,0.004932889755649983,803530710.0,,
2017-02-15,HDFCBANK,EQ,1311.1,1312.0,1324.0,1307.45,1320.1,1322.2,1319.18,1531735,202063000000000.0,30033,860763,0.562,-0.0015220700152207556,2009636320.0,,
2017-02-16,HDFCBANK,EQ,1322.2,1323.0,1333.0,1320.25,1328.25,1327.9,1327.69,1260925,167412000000000.0,32225,786097,0.6234,0.008384146341463339,1668203775.0,,
2017-02-17,HDFCBANK,EQ,1327.9,1445.0,1454.0,1360.45,1375.0,1377.05,1418.39,100564990,1.43e+16,547304,66696831,0.6632,0.09221466364323505,145316410550.0,,
