Date,Open
2017-01-02,256.3
2017-01-03,252.1
2017-01-04,254.25
2017-01-05,253.2
2017-01-06,258.25
2017-01-09,257.9
2017-01-10,260
2017-01-11,262.5
2017-01-12,266.6
2017-01-13,270
2017-01-16,267.4
2017-01-17,269.5
2017-01-18,267.4
2017-01-19,268.8
2017-01-20,267
2017-01-23,261.8
2017-01-24,258.55
2017-01-25,259
2017-01-27,263.05
2017-01-30,273
2017-01-31,268.8
2017-02-01,265.85
2017-02-02,282
2017-02-03,284.95
2017-02-06,283.55
2017-02-07,288
2017-02-08,288
2017-02-09,286.6
2017-02-10,285.6
2017-02-13,282.5
2017-02-14,283
2017-02-15,285.2
2017-02-16,281.3
2017-02-17,279.7
2017-02-20,283.05
2017-02-21,283
2017-02-22,287.9
2017-02-23,284.7
2017-02-27,285
2017-02-28,278.95
2017-03-01,277.6
2017-03-02,282.05
2017-03-03,278.6
2017-03-06,275.95
2017-03-07,277
2017-03-08,276.2
2017-03-09,274
2017-03-10,275.15
2017-03-14,281.1
2017-03-15,285.9
2017-03-16,286.55
2017-03-17,286.1
2017-03-20,279.7
2017-03-21,276
2017-03-22,267.9
2017-03-23,266.5
2017-03-24,269.65
2017-03-27,280
2017-03-28,277
2017-03-29,278.95
2017-03-30,281.25
2017-03-31,280.35
2017-04-03,278.8
2017-04-05,286.5
2017-04-06,281.9
2017-04-07,280.1
2017-04-10,278.4
2017-04-11,278.3
2017-04-12,283.8
2017-04-13,280.3
2017-04-17,283
2017-04-18,283.4
2017-04-19,283.4
2017-04-20,274.95
2017-04-21,272.65
2017-04-24,269.8
2017-04-25,272
2017-04-26,274
2017-04-27,276.95
2017-04-28,273.5
2017-05-02,280.2
2017-05-03,275.9
2017-05-04,291.6
2017-05-05,300
2017-05-08,300
2017-05-09,304.3
2017-05-10,301.1
2017-05-11,301.7
2017-05-12,300
2017-05-15,299.5
2017-05-16,302.85
2017-05-17,305.6
2017-05-18,304.7
2017-05-19,307.9
2017-05-22,309.55
2017-05-23,303.15
2017-05-24,306.8
2017-05-25,306.35
2017-05-26,317
2017-05-29,319.25
2017-05-30,314.85
2017-05-31,323
2017-06-01,325.5
2017-06-02,322
2017-06-05,318.5
2017-06-06,320.55
2017-06-07,321.05
2017-06-08,325.9
2017-06-09,318.95
2017-06-12,320
2017-06-13,315.05
2017-06-14,319.1
2017-06-15,319
2017-06-16,318.45
2017-06-19,318
2017-06-20,290.75
2017-06-21,292
2017-06-22,291.5
2017-06-23,289.55
2017-06-27,293
2017-06-28,288.75
2017-06-29,291.5
2017-06-30,292
2017-07-03,291.4
2017-07-04,292.4
2017-07-05,290
2017-07-06,294
2017-07-07,293.5
2017-07-10,305.15
2017-07-11,292.55
2017-07-12,289.7
2017-07-13,295.6
2017-07-14,299.4
2017-07-17,300
2017-07-18,301.75
2017-07-19,303
2017-07-20,302
2017-07-21,299.5
2017-07-24,302.2
2017-07-25,306.8
2017-07-26,306.8
2017-07-27,314.45
2017-07-28,304
2017-07-31,298.85
2017-08-01,303.9
2017-08-02,302.2
2017-08-03,301.35
2017-08-04,295
2017-08-07,297.25
2017-08-08,299.8
2017-08-09,294.4
2017-08-10,289
2017-08-11,283.95
2017-08-14,287.55
2017-08-16,291.7
2017-08-17,297.85
2017-08-18,292
2017-08-21,295.25
2017-08-22,297
2017-08-23,296
2017-08-24,300
2017-08-28,299.7
2017-08-29,300
2017-08-30,301.8
2017-08-31,300.9
2017-09-01,299.7
2017-09-04,299.9
2017-09-05,296.7
2017-09-06,294.9
2017-09-07,295.55
2017-09-08,294.8
2017-09-11,293
2017-09-12,292.65
2017-09-13,292.1
2017-09-14,291.7
2017-09-15,294.45
2017-09-18,293.9
2017-09-19,291.9
2017-09-20,292
2017-09-21,289.45
2017-09-22,283.6
2017-09-25,278.95
2017-09-26,279.5
2017-09-27,284.75
2017-09-28,275.95
2017-09-29,277.45
2017-10-03,279.5
2017-10-04,279.25
2017-10-05,276
2017-10-06,272.15
2017-10-09,273.35
2017-10-10,271.85
2017-10-11,271.1
2017-10-12,267.6
2017-10-13,267.6
2017-10-16,274.6
2017-10-17,274.75
2017-10-18,268.4
2017-10-19,259.6
2017-10-23,258.35
2017-10-24,263.25
2017-10-25,293.2
2017-10-26,299.8
2017-10-27,291.9
2017-10-30,298.6
2017-10-31,300.25
2017-11-01,303
2017-11-02,313.45
2017-11-03,317.8
2017-11-06,314.8
2017-11-07,317.1
2017-11-08,312
2017-11-09,306.8
2017-11-10,312.5
2017-11-13,317
2017-11-14,313.3
2017-11-15,312.95
2017-11-16,316.15
2017-11-17,324
2017-11-20,323.35
2017-11-21,318.75
2017-11-22,319.4
2017-11-23,319.75
2017-11-24,319.9
2017-11-27,315.05
2017-11-28,313.1
2017-11-29,312.6
2017-11-30,314.95
2017-12-01,309.7
2017-12-04,307.25
2017-12-05,304.8
2017-12-06,303.8
2017-12-07,301.5
2017-12-08,307.25
2017-12-11,311
2017-12-12,312.05
2017-12-13,308
2017-12-14,303.85
2017-12-15,310.4
2017-12-18,298
2017-12-19,309.2
2017-12-20,314.1
2017-12-21,315.4
2017-12-22,315
2017-12-26,316.25
2017-12-27,315.95
2017-12-28,312.8
2017-12-29,313.9
2018-01-01,314
2018-01-02,310.95
2018-01-03,312.5
2018-01-04,314.95
2018-01-05,314.45
2018-01-08,313.5
2018-01-09,314.8
2018-01-10,312.55
2018-01-11,312.5
2018-01-12,309.6
2018-01-15,320.8
2018-01-16,329.75
2018-01-17,334.05
2018-01-18,350
2018-01-19,347.45
2018-01-22,352.4
2018-01-23,350.45
2018-01-24,357.75
2018-01-25,352.5
2018-01-29,360
2018-01-30,356.8
2018-01-31,348.85
2018-02-01,347.55
2018-02-02,342.55
2018-02-05,327.6
2018-02-06,315.25
2018-02-07,335.35
2018-02-08,332.55
2018-02-09,325
2018-02-12,328.85
2018-02-14,327
2018-02-15,322.15
2018-02-16,330.35
2018-02-19,329.5
2018-02-20,320.5
2018-02-21,319
2018-02-22,317
2018-02-23,319.05
2018-02-26,325
2018-02-27,327
2018-02-28,315.15
2018-03-01,312.65
2018-03-05,304.45
2018-03-06,307.4
2018-03-07,293.3
2018-03-08,290.25
2018-03-09,299
2018-03-12,295.6
2018-03-13,300.1
2018-03-14,303.15
2018-03-15,305.75
2018-03-16,301.25
2018-03-19,298.1
2018-03-20,293
2018-03-21,295
2018-03-22,289.5
2018-03-23,277.1
2018-03-26,276.1
2018-03-27,284.5
2018-03-28,283
2018-04-02,273
2018-04-03,261.4
2018-04-04,267.25
2018-04-05,267.8
2018-04-06,278.4
2018-04-09,277.75
2018-04-10,279.45
2018-04-11,287.75
2018-04-12,285.3
2018-04-13,288
2018-04-16,285
2018-04-17,287.6
2018-04-18,293.7
2018-04-19,291
2018-04-20,289.25
2018-04-23,280
2018-04-24,279.35
2018-04-25,284.05
2018-04-26,279.8
2018-04-27,277.4
2018-04-30,288.95
2018-05-02,283.65
2018-05-03,277.3
2018-05-04,280.45
2018-05-07,284
2018-05-08,302
2018-05-09,305
2018-05-10,308.45
2018-05-11,307.95
2018-05-14,310
2018-05-15,310.7
2018-05-16,303.9
2018-05-17,299
2018-05-18,294.15
2018-05-21,289.5
2018-05-22,289.5
2018-05-23,288.85
2018-05-24,293.7
2018-05-25,298.4
2018-05-28,293.75
2018-05-29,298.75
2018-05-30,285.9
2018-05-31,285
2018-06-01,295
2018-06-04,293.3
2018-06-05,288
2018-06-06,285.7
