Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Pct_Change,MarktCap,MA50,MA200
2017-01-02,ICICIBANK,EQ,255.3,256.3,256.3,248.1,252.25,251.95,251.46,9458500,237842000000000.0,61109,4654503,0.4921,,2424213550.0,,
2017-01-03,ICICIBANK,EQ,251.95,252.1,255.4,249.3,254.95,254.4,253.52,9306097,235927000000000.0,51222,4456575,0.4789,-0.016387046429964913,2346067053.7,,
2017-01-04,ICICIBANK,EQ,254.4,254.25,255.75,250.4,250.95,251.1,253.04,6273801,158753000000000.0,44992,2581157,0.4114,0.008528361761205971,1595113904.25,,
2017-01-05,ICICIBANK,EQ,251.1,253.2,258.5,252.2,257.4,257.25,256.07,12573335,321960000000000.0,98021,7239450,0.5758,-0.004129793510324498,3183568422.0,,
2017-01-06,ICICIBANK,EQ,257.25,258.25,261.4,257.2,258.1,258.15,259.13,8231949,213313000000000.0,56518,3806104,0.4624,0.01994470774091628,2125900829.25,,
2017-01-09,ICICIBANK,EQ,258.15,257.9,259.85,256.0,258.85,258.7,258.3,7159359,184923000000000.0,65924,3559790,0.4972,-0.0013552758954502586,1846398686.1,,
2017-01-10,ICICIBANK,EQ,258.7,260.0,261.9,258.3,260.7,260.2,260.18,13440037,349682000000000.0,91189,9692851,0.7212,0.008142690965490695,3494409620.0,,
2017-01-11,ICICIBANK,EQ,260.2,262.5,268.1,261.6,264.9,264.7,264.17,17786981,469887000000000.0,96690,10990010,0.6179,0.009615384615384581,4669082512.5,,
2017-01-12,ICICIBANK,EQ,264.7,266.6,269.5,265.45,268.5,268.35,267.87,10646618,285191000000000.0,86316,5842645,0.5488,0.015619047619047643,2838388358.8,,
2017-01-13,ICICIBANK,EQ,268.35,270.0,270.0,264.8,267.6,268.05,267.54,7100341,189964000000000.0,62386,3723958,0.5245,0.01275318829707417,1917092070.0,,
2017-01-16,ICICIBANK,EQ,268.05,267.4,270.85,264.8,269.35,269.3,268.26,8057888,216160000000000.0,63343,3821155,0.4742,-0.009629629629629766,2154679251.2,,
2017-01-17,ICICIBANK,EQ,269.3,269.5,271.5,265.5,267.1,268.4,268.69,6334601,170205000000000.0,58374,2691952,0.425,0.007853403141361293,1707174969.5,,
2017-01-18,ICICIBANK,EQ,268.4,267.4,272.1,266.75,268.0,268.45,269.57,9168733,247158000000000.0,57324,4383161,0.4781,-0.007792207792207906,2451719204.2,,
2017-01-19,ICICIBANK,EQ,268.45,268.8,270.7,266.2,270.0,269.7,269.03,7823352,210471000000000.0,65190,4084624,0.5221,0.00523560209424101,2102917017.6000001,,
2017-01-20,ICICIBANK,EQ,269.7,267.0,267.95,262.55,262.85,263.45,264.59,11097327,293621000000000.0,71291,5809642,0.5235,-0.006696428571428603,2962986309.0,,
2017-01-23,ICICIBANK,EQ,263.45,261.8,261.8,255.15,257.35,257.55,257.23,39812153,1024070000000000.0,90101,21413622,0.5379,-0.019475655430711614,10422821655.4,,
2017-01-24,ICICIBANK,EQ,257.55,258.55,258.55,255.65,257.65,257.15,257.56,24109134,620960000000000.0,75856,15025798,0.6232,-0.012414056531703577,6233416595.7,,
2017-01-25,ICICIBANK,EQ,257.15,259.0,260.8,255.6,260.5,259.95,258.28,37343712,964524000000000.0,107406,24181771,0.6475,0.0017404757300327756,9672021408.0,,
2017-01-27,ICICIBANK,EQ,259.95,263.05,274.0,260.7,271.8,272.0,266.23,81303314,2164520000000000.0,170567,41436690,0.5097,0.015637065637065684,21386836747.7,,
2017-01-30,ICICIBANK,EQ,272.0,273.0,275.6,269.7,271.5,270.8,272.31,15488611,421773000000000.0,88281,7547907,0.4873,0.037825508458467993,4228390803.0,,
2017-01-31,ICICIBANK,EQ,270.8,268.8,274.0,266.45,268.05,268.95,269.55,18668332,503209000000000.0,112432,8364534,0.4481,-0.01538461538461533,5018047641.6,,
2017-02-01,ICICIBANK,EQ,268.95,265.85,283.5,262.8,281.35,281.0,274.98,40588493,1116090000000000.0,219534,17320544,0.4267,-0.010974702380952328,10790450864.050001,,
2017-02-02,ICICIBANK,EQ,281.0,282.0,287.5,280.55,283.55,285.8,285.14,26282657,749436000000000.0,154242,14135824,0.5378,0.06074854241113403,7411709274.0,,
2017-02-03,ICICIBANK,EQ,285.8,284.95,284.95,278.8,281.75,281.55,281.43,18235397,513198000000000.0,141574,9576049,0.5251,0.010460992907801447,5196176375.15,,
2017-02-06,ICICIBANK,EQ,281.55,283.55,292.25,283.55,290.3,290.3,289.55,20474479,592847000000000.0,121397,9595696,0.4687,-0.004913142656606362,5805538520.45,,
2017-02-07,ICICIBANK,EQ,290.3,288.0,292.7,285.3,287.95,288.1,289.21,11663002,337303000000000.0,73488,5119040,0.4389,0.015693881149708933,3358944576.0,,
2017-02-08,ICICIBANK,EQ,288.1,288.0,288.5,282.7,286.8,285.8,286.05,15148162,433320000000000.0,98284,7285628,0.481,0.0,4362670656.0,,
2017-02-09,ICICIBANK,EQ,285.8,286.6,288.75,278.6,284.9,285.0,283.66,15119258,428876000000000.0,129726,6932399,0.4585,-0.004861111111110983,4333179342.8,,
2017-02-10,ICICIBANK,EQ,285.0,285.6,286.15,280.1,281.95,281.6,283.08,15246747,431604000000000.0,83526,10019486,0.6572,-0.0034891835310537633,4354470943.200001,,
